No.,Alarm_Index,ID_Alarm,Alarm_Name,Alarm_Type,Alarm_Value
72,91,M91,S8_HEIGHT_CHK_MISSING_TR3,b,0
73,92,M92,S1_BOTTOM_CAP_MISSING_TR4,b,0
74,93,M93,S3_SILICON_PRESENCE_MISSING_TR4,b,0
75,94,M94,S5_COVER_PRESENCE_MISSING_TR4,b,0
76,95,M95,S9_HEIGHT_CHK_MC_TR4,b,0
77,131,M131,S7_WELDING_CHK_MISSING_TR1_,b,0
78,132,M132,S7_WELDING_CHK_MISSING_TR3,b,0
79,133,M133,S6_WELDING_CHK_MISSING_TR2,b,0
80,134,M134,S6_WELDING_CHK_MISSING_TR4,b,0
81,115,M115,S10_LEAK_TEST_MISS_TR1,b,0
82,51,M51,S10_LEAK_TEST_MISS_TR2,b,0
83,116,M116,S10_LEAK_TEST_MISS_TR3,b,0
84,117,M117,S10_LEAK_TEST_MISS_TR4,b,0
85,125,M125,S1_B-F-1_JAM_,b,0
86,126,M126,S1_B-F-2_JAM_,b,0
87,127,M127,S2_B-F_-1_JAM,b,0
88,128,M128,S4_B-F_-1_JAM_,b,0
89,129,M129,S4_B-F-2_JAM,b,0
